Organisation name,Category,Phone,Email,WiFi,Computers,Device lending,Training and/or support,Essential Digital Skills (up to Level 2),Digital Skills Bootcamps,Target audience,Website,Additional information,Address,Postcode,lon,lat
Age UK Trafford,Community hub,0161 746 9754,admin@ageuktrafford.org.uk,x,x,x,x,NA,NA,Older people,https://www.ageuk.org.uk/trafford,Silver Surfer Digital Buddies provides older people with a tablet with internet access to enable them to connect in a digital way with the outside world.,"The Sharples, 1-3 Church Rd, Urmston, Manchester",M41 9EH,-2.3531378,53.44618
Altrincham Community Response Hub,Community hub,0161 941 2018,info@ourhub.org,x,x,NA,x,NA,NA,Everyone,https://ourhub.org/,Targeted at Altrincham residents.,"Pownall Rd, Altrincham",WA14 2SZ,-2.3480306,53.3826983
Altrincham Library,Library,0161 912 3189,altrincham.library@trafford.gov.uk,x,x,x,x,NA,NA,Everyone,http://www.trafford.gov.uk/residents/leisure-and-lifestyle/libraries/libraries.aspx,"Visit your local library to access computers, borrow a device or to improve your digital skills. Free Wi-Fi is also available (Your Trafford Guest).","2 Pott Street, Altrincham",WA14 1AH,-2.3525568,53.3871296
Babington Business College,Training provider,0333 323 4050,customersupport@babington.co.uk,NA,NA,NA,x,x,x,Everyone,https://babington.co.uk/,"Babington is a leading professional training course, apprenticeships and traineeships provider. Transform your career or organisation with us.","7th Floor, SPACES, Peter House, Oxford Street, Manchester",M1 5AN,-2.2437222,53.4770956
Back2Work Complete Training,Training provider,0161 474 7603,info@b2wcompletetraining.com,NA,NA,NA,x,x,x,Jobseekers,https://b2wcompletetraining.com/,Pre-Employment Training works great as both a recruitment service for employers and an employment service for those who are unemployed.,"Building 4, Universal square, Devonshire St, Manchester",M12 6JH,-2.2152271,53.4709137
Code Nation,Training provider,0161 533 0541,hello@wearecodenation.com,NA,NA,NA,x,x,x,Everyone,https://wearecodenation.com/,"A unique, business led, digital training provider with a sole purpose of creating work ready, employable talent.","19 Spring Gardens, Manchester",M2 1FB,-2.2412692,53.4814051
Coppice Library,Library,0161 912 3560,coppice.library@trafford.gov.uk,x,x,x,NA,NA,NA,Everyone,http://www.trafford.gov.uk/residents/leisure-and-lifestyle/libraries/libraries.aspx,"Visit your local library to access computers, borrow a device or to improve your digital skills. Free Wi-Fi is also available (Your Trafford Guest).","Coppice Avenue, Sale",M33 4WD,-2.3512454,53.4142241
Hale Library,Library,0161 912 3189,hale.library@trafford.gov.uk,x,x,x,NA,NA,NA,Everyone,http://www.trafford.gov.uk/residents/leisure-and-lifestyle/libraries/libraries.aspx,"Temporarily closed. Visit your local library to access computers, borrow a device or to improve your digital skills. Free Wi-Fi is also available (Your Trafford Guest).","Leigh Road, Hale",WA15 9BG,-2.3442338,53.3766433
Henshaws,Charity/community group,0300 222 5555,info@henshaws.org.uk,NA,NA,NA,x,NA,NA,Adults and young people with disabilities,https://www.henshaws.org.uk/,Henshaws is a northern charity supporting people living with sight loss and a range of other disabilities to go beyond expectations.,"4A Washbrook House, Lancastrian Office Centre, Talbot Road, Stretford, Manchester",M32 0FP,-2.288977,53.4569744
Homestart,Charity/community group,0161 865 4222,admin@hsts.org.uk,NA,NA,x,x,NA,NA,Families,https://hsts.org.uk/,Family Digital Inclusion project - supplying families in the greatest need with basic technology and data connections.,"Poplar Rd, Stretford, Manchester",M32 9AN,-2.3139502,53.4414498
Hopwood Hall College,Training provider,0161 643 7560,enquiries@hopwood.ac.uk,NA,NA,NA,x,x,NA,Everyone,https://www.hopwood.ac.uk/,Hopwood Hall College and University Centre offers vocational further education courses and Higher Education courses from two campuses in Middleton and Rochdale.,"Rochdale Campus, St Mary's Gate, Rochdale ",OL12 6RY,-2.1633337,53.6167131
Job Centre DWP - Altrincham,Job Centre,0800 169 0190,NA,x,x,NA,NA,NA,NA,Jobseekers,Anyone is entitled to free help and advice from a DWP Work Coach if you're unemployed and looking for work.,NA,"Roberts House, 80 Manchester Rd, Altrincham",WA14 4PU,-2.3519662,53.3959745
Job Centre DWP - Stretford,Job Centre,801 169 0190,NA,x,x,NA,NA,NA,NA,Jobseekers,Anyone is entitled to free help and advice from a DWP Work Coach if you're unemployed and looking for work.,NA,"Arndale Centre, Chester Rd, Stretford, Manchester",M32 9ED,-2.3090345,53.4448022
Learning Curve Group,Training provider,01388 777 129,training@learningcurvegroup.co.uk,NA,NA,NA,x,x,x,Everyone,https://www.learningcurvegroup.co.uk/,We transform lives through learning. Reach your full potential by finding a education or training course today. ,"Dunelm Rise, Durhamgate, County Durham",DL16 6FS,-1.5721068,54.7132764
Lostock Library,Library,0161 912 3189,libraries@trafford.gov.uk,x,x,NA,NA,NA,NA,Everyone,http://www.trafford.gov.uk/residents/leisure-and-lifestyle/libraries/libraries.aspx,Free Wi-Fi is available (Your Trafford Guest).,"Lostock High School, Selby Road, Stretford",M32 9PL,-2.3305689,53.4548909
LTE Group,Training provider,0333 322 2111,NA,NA,NA,NA,x,x,NA,Everyone,https://www.ltegroup.co.uk/,LTE Group is the first integrated education and skills group of its kind.,"Whitworth House, Ashton Old Road, Manchester ",M11 2WH,-2.187331,53.472625
Manchester Deaf Centre,Charity/community group,0161 273 3415,info@manchesterdeafcentre.com,NA,NA,x,x,NA,NA,Individuals with hearing impairment,https://www.manchesterdeafcentre.com/,"Digital Awareness project will enable hard of hearing, deaf and deafened residents of Trafford to access iPads and learn how to use them to best effect when it comes to bettering their circumstances.","Manchester Deaf Centre, Crawford House, Booth Street East, Manchester",M13 9GH,-2.2352686,53.468307
Old Trafford Library at Limelight,Library,0161 912 3189,oldtrafford.library@trafford.gov.uk,x,x,NA,NA,NA,NA,Everyone,http://www.trafford.gov.uk/residents/leisure-and-lifestyle/libraries/libraries.aspx,"Visit your local library to access computers, borrow a device or to improve your digital skills. Free Wi-Fi is also available (Your Trafford Guest).","1 St Brides Way, Old Trafford",M16 9NW,-2.2621427,53.4611018
Old Trafford Wellbeing Centre - BluSci,Charity/community group,0161 877 3719,reception@bluescisupport.org.uk,NA,NA,NA,x,NA,NA,Everyone,https://oldtraffordwellbeing.org.uk/,"As a community hub, Old Trafford Wellbeing Centre’s strength lies in connecting people to the resources which support wellbeing in Old Trafford.","54-56 Seymour Grove, Old Trafford",M16 0LN,-2.2762395,53.4596717
Our Sale West,Community hub,NA,enquiries@oursalewest.co.uk,x,x,NA,x,NA,NA,Everyone,https://www.oursalewest.co.uk/,Targeted to Sale West residents. Digital Inclusion for All project - Access to digital training and equipment.,"Sale West Youth And Community Centre, Newbury Avenue, Sale",M33 4QW,-2.3569769,53.4184875
Partington Library and Wellbeing Centre,Library,0161 912 3189,partington.library@trafford.gov.uk,x,x,x,x,NA,NA,Everyone,http://www.trafford.gov.uk/residents/leisure-and-lifestyle/libraries/libraries.aspx,"Visit your local library to access computers, borrow a device or to improve your digital skills. Free Wi-Fi is also available (Your Trafford Guest).","91 Central Road, Partington",M31 4FY,-2.4253965,53.4177175
Plato Training (UK) Ltd,Training provider,0161 429 7039,NA,NA,NA,NA,x,x,NA,Everyone,https://www.platotraining.co.uk/,Our aim is to uncover hidden potential through work based training. ,"Beckwith House, 1 Wellington Rd N, Stockport",SK4 1AF,-2.1633692,53.4098616
Pulling Together,Charity/community group,0161 912 4657 or 0773 973 1786,pullingtogethergroup@gmail.com,NA,NA,NA,x,NA,NA,Women,https://pullingtogethergroup.org/,Online virtual arts project in Old Trafford to reduce isolation in women.,"Limelight, 1 St. Brides Way, Old Trafford, Manchester",M16 9NW,-2.262196,53.4611425
Sale Library,Library,0161 912 3189,sale.library@trafford.gov.uk,x,x,x,x,NA,NA,Everyone,http://www.trafford.gov.uk/residents/leisure-and-lifestyle/libraries/libraries.aspx,"Visit your local library to access computers, borrow a device or to improve your digital skills. Free Wi-Fi is also available (Your Trafford Guest).","Sale Waterside, Sale",M33 7ZF,-2.320028,53.425311
St Antony's Centre,Charity/community group,0161 848 9173,secretary@stantonyscentre.org.uk,NA,NA,NA,x,x,NA,Everyone,https://www.stantonyscentre.org.uk/,"The centre offers a range of services supporting residents in the world of work and in local communities, including accredited training, advice and support. ","St Anthonys Centre, Eleventh St, Trafford Park, Stretford",M17 1JF,-2.3103756,53.4664626
